SK_ID_CURR,TARGET
100001,0.05
100005,0.19
100013,0.06
100028,0.13
100038,0.1
100042,0.12
100057,0.05
100065,0.13
100066,0.13
100067,0.16
100074,0.12
100090,0.12
100091,0.15
100092,0.16
100106,0.11
100107,0.22
100109,0.09
100117,0.11
100128,0.13
100141,0.1
100150,0.09
100168,0.08
100169,0.13
100170,0.1
100171,0.06
100172,0.15
100184,0.11
100187,0.09
100212,0.12
100222,0.14
100223,0.09
100232,0.09
100241,0.28
100245,0.17
100253,0.13
100256,0.21
100271,0.16
100278,0.3
100280,0.08
100306,0.28
100311,0.21
100312,0.09
100330,0.19
100331,0.09
100352,0.17
100358,0.12
100367,0.06
100382,0.16
100384,0.16
100385,0.22
100386,0.19
100399,0.05
100404,0.16
100416,0.05
100422,0.13
100426,0.08
100438,0.11
100444,0.21
100445,0.17
100446,0.14
100447,0.09
100450,0.1
100466,0.09
100483,0.06
100484,0.09
100494,0.18
100510,0.23
100512,0.04
100517,0.09
100548,0.03
100551,0.06
100552,0.12
100553,0.16
100561,0.26
100568,0.26
100569,0.06
100591,0.14
100592,0.02
100602,0.13
100607,0.12
100613,0.07
100617,0.19
100618,0.18
100622,0.21
100625,0.14
100677,0.16
100699,0.09
100702,0.34
100711,0.15
100729,0.13
100740,0.16
100744,0.12
100745,0.12
100747,0.1
100751,0.27
100752,0.1
100753,0.28
100754,0.22
100760,0.07
100762,0.06
100763,0.11
100765,0.05
100770,0.2
100772,0.02
100777,0.04
100791,0.08
100792,0.04
100797,0.03
100823,0.09
100826,0.18
100830,0.03
100836,0.31
100872,0.16
100910,0.07
100913,0.23
100918,0.21
100931,0.06
100952,0.12
100953,0.17
100965,0.31
100970,0.05
100982,0.29
100983,0.26
100984,0.09
100987,0.13
100997,0.12
100998,0.16
101002,0.19
101005,0.26
101008,0.25
101020,0.04
101021,0.08
101024,0.17
101025,0.23
101026,0.07
101031,0.03
101041,0.02
101051,0.07
101055,0.15
101056,0.35
101057,0.14
101064,0.11
101079,0.2
101087,0.11
101090,0.07
101092,0.07
101097,0.08
101099,0.11
101107,0.18
101118,0.11
101125,0.16
101126,0.05
101128,0.09
101136,0.23
101140,0.24
101149,0.13
101160,0.04
101169,0.2
101181,0.12
101186,0.03
101190,0.15
101193,0.15
101194,0.2
101198,0.19
101200,0.06
101204,0.11
101211,0.07
101213,0.13
101223,0.07
101225,0.15
101237,0.2
101243,0.19
101244,0.22
101258,0.11
101259,0.27
101268,0.14
101269,0.12
101271,0.14
101279,0.04
101281,0.25
101287,0.09
101292,0.07
101294,0.08
101296,0.08
101297,0.14
101299,0.08
101301,0.11
101305,0.1
101308,0.16
101318,0.06
101327,0.23
101329,0.06
101332,0.12
101337,0.14
101343,0.02
101345,0.06
101346,0.05
101353,0.04
101354,0.22
101355,0.3
101356,0.03
101362,0.1
101363,0.29
101365,0.07
101366,0.14
101367,0.23
101368,0.04
101374,0.2
101380,0.07
101383,0.12
101398,0.12
101399,0.3
101401,0.11
101412,0.15
101426,0.14
101427,0.36
101428,0.22
101429,0.13
101434,0.15
101440,0.14
101448,0.08
101449,0.12
101465,0.17
101467,0.08
101472,0.09
101478,0.21
101497,0.13
101504,0.18
101547,0.14
101548,0.21
101555,0.19
101570,0.13
101572,0.13
101578,0.2
101580,0.23
101588,0.23
101602,0.14
101610,0.27
101614,0.11
101616,0.09
101643,0.07
101644,0.11
101649,0.16
101650,0.17
101665,0.05
101667,0.22
101669,0.13
101674,0.1
101675,0.04
101678,0.17
101682,0.13
101686,0.05
101697,0.27
101700,0.29
101711,0.13
101714,0.08
101715,0.24
101728,0.08
101732,0.1
101757,0.16
101758,0.14
101759,0.09
101762,0.08
101764,0.04
101780,0.26
101784,0.04
101789,0.04
101816,0.06
101819,0.09
101827,0.04
101863,0.19
101867,0.12
101870,0.09
101873,0.2
101878,0.17
101879,0.18
101880,0.04
101887,0.07
101897,0.07
101901,0.11
101903,0.3
101920,0.07
101921,0.07
101922,0.14
101961,0.26
101962,0.03
101971,0.1
101976,0.17
102002,0.09
102005,0.07
102007,0.34
102017,0.05
102019,0.31
102029,0.07
102051,0.25
102052,0.08
102054,0.09
102062,0.07
102067,0.21
102068,0.12
102070,0.07
102090,0.15
102092,0.15
102099,0.07
102100,0.13
102112,0.13
102113,0.1
102122,0.2
102123,0.18
102125,0.09
102126,0.23
102146,0.08
102147,0.13
102151,0.11
102158,0.08
102159,0.06
102162,0.14
102165,0.17
102166,0.09
102174,0.1
102193,0.24
102198,0.08
102205,0.13
102206,0.03
102218,0.08
102221,0.09
102230,0.08
102238,0.12
102248,0.09
102252,0.28
102259,0.12
102262,0.24
102273,0.14
102286,0.12
102293,0.05
102294,0.06
102296,0.09
102298,0.13
102303,0.05
102309,0.07
102315,0.09
102340,0.06
102342,0.18
102344,0.08
102346,0.11
102347,0.09
102374,0.22
102380,0.04
102387,0.19
102393,0.07
102403,0.1
102413,0.14
102414,0.05
102415,0.06
102416,0.12
102439,0.06
102441,0.07
102443,0.05
102444,0.21
102445,0.21
102448,0.11
102449,0.08
102450,0.26
102456,0.07
102458,0.19
102459,0.1
102465,0.03
102470,0.29
102471,0.08
102475,0.11
102476,0.21
102506,0.14
102509,0.04
102519,0.11
102522,0.09
102545,0.12
102549,0.09
102562,0.03
102563,0.04
102568,0.17
102582,0.07
102592,0.06
102597,0.19
102605,0.06
102614,0.11
102617,0.17
102634,0.16
102652,0.03
102655,0.06
102671,0.05
102694,0.09
102701,0.09
102703,0.06
102704,0.01
102713,0.19
102720,0.17
102731,0.09
102733,0.06
102749,0.09
102755,0.06
102763,0.1
102770,0.13
102772,0.18
102799,0.24
102838,0.06
102854,0.08
102862,0.07
102863,0.09
102867,0.04
102868,0.11
102878,0.13
102887,0.06
102898,0.16
102904,0.15
102912,0.04
102919,0.09
102927,0.12
102932,0.12
102933,0.06
102935,0.04
102958,0.06
102969,0.12
102971,0.06
102975,0.06
102979,0.16
102982,0.02
102987,0.23
102989,0.16
102995,0.16
102996,0.12
103000,0.08
103001,0.25
103004,0.13
103010,0.1
103025,0.24
103029,0.11
103046,0.1
103056,0.11
103062,0.22
103078,0.11
103083,0.07
103092,0.06
103096,0.19
103097,0.26
103102,0.14
103112,0.24
103132,0.02
103144,0.12
103145,0.2
103146,0.12
103147,0.21
103158,0.05
103171,0.18
103173,0.16
103184,0.03
103195,0.3
103196,0.18
103206,0.09
103230,0.17
103231,0.25
103232,0.08
103239,0.17
103240,0.27
103243,0.13
103252,0.13
103258,0.09
103259,0.27
103279,0.06
103280,0.01
103286,0.05
103287,0.39
103290,0.06
103298,0.12
103315,0.06
103319,0.04
103334,0.11
103336,0.16
103345,0.02
103368,0.05
103371,0.33
103377,0.16
103398,0.01
103404,0.11
103408,0.24
103410,0.07
103418,0.03
103420,0.3
103432,0.07
103433,0.05
103436,0.07
103440,0.07
103453,0.08
103459,0.12
103460,0.1
103461,0.03
103462,0.13
103473,0.2
103474,0.07
103475,0.3
103478,0.25
103480,0.15
103484,0.02
103494,0.08
103513,0.14
103515,0.09
103516,0.3
103525,0.17
103541,0.22
103544,0.05
103562,0.29
103570,0.3
103572,0.13
103574,0.03
103575,0.08
103591,0.17
103594,0.09
103609,0.08
103613,0.08
103614,0.11
103615,0.09
103624,0.13
103625,0.25
103628,0.21
103629,0.03
103647,0.03
103648,0.12
103651,0.1
103658,0.08
103668,0.07
103669,0.07
103676,0.12
103682,0.09
103683,0.13
103689,0.06
103725,0.11
103733,0.27
103744,0.05
103762,0.12
103771,0.3
103773,0.08
103783,0.08
103784,0.07
103808,0.05
103812,0.06
103813,0.1
103814,0.11
103818,0.22
103824,0.06
103828,0.02
103830,0.25
103840,0.02
103842,0.2
103847,0.27
103848,0.15
103851,0.04
103854,0.17
103857,0.22
103861,0.06
103862,0.22
103865,0.12
103870,0.03
103876,0.05
103891,0.43
103908,0.09
103914,0.06
103918,0.1
103940,0.09
103963,0.12
103966,0.15
103971,0.11
103980,0.14
103984,0.08
103985,0.04
103998,0.28
104019,0.03
104026,0.05
104035,0.16
104044,0.09
104045,0.12
104047,0.23
104051,0.05
104058,0.16
104063,0.06
104066,0.14
104087,0.04
104089,0.12
104095,0.03
104098,0.12
104104,0.04
104110,0.37
104120,0.17
104122,0.03
104131,0.11
104132,0.14
104135,0.05
104136,0.09
104149,0.12
104150,0.06
104156,0.34
104165,0.19
104175,0.1
104179,0.11
104184,0.2
104206,0.1
104216,0.3
104230,0.21
104257,0.07
104272,0.08
104273,0.17
104278,0.06
104294,0.17
104295,0.06
104297,0.05
104298,0.13
104308,0.09
104318,0.05
104319,0.03
104320,0.16
104327,0.16
104334,0.13
104344,0.12
104350,0.1
104351,0.25
104354,0.08
104369,0.1
104376,0.08
104381,0.07
104384,0.1
104391,0.05
104394,0.09
104398,0.38
104402,0.1
104408,0.17
104409,0.04
104410,0.2
104412,0.12
104417,0.23
104424,0.21
104426,0.05
104435,0.08
104445,0.12
104458,0.06
104460,0.0
104466,0.08
104472,0.14
104473,0.2
104479,0.04
104480,0.04
104482,0.16
104499,0.04
104501,0.06
104502,0.04
104506,0.03
104510,0.01
104512,0.24
104520,0.14
104528,0.11
104529,0.07
104541,0.06
104578,0.12
104584,0.19
104588,0.1
104602,0.14
104610,0.08
104611,0.17
104618,0.11
104620,0.03
104622,0.06
104624,0.19
104625,0.11
104634,0.15
104639,0.1
104646,0.05
104647,0.03
104652,0.05
104670,0.14
104677,0.04
104685,0.18
104691,0.11
104696,0.07
104699,0.09
104712,0.2
104714,0.08
104717,0.11
104718,0.04
104740,0.07
104741,0.05
104743,0.07
104744,0.2
104747,0.19
104767,0.1
104772,0.34
104776,0.21
104779,0.05
104814,0.11
104815,0.11
104830,0.14
104831,0.15
104833,0.15
104839,0.09
104840,0.1
104860,0.17
104861,0.16
104866,0.09
104870,0.05
104877,0.13
104878,0.08
104879,0.12
104880,0.07
104899,0.1
104906,0.12
104907,0.14
104913,0.13
104916,0.14
104921,0.17
104930,0.07
104931,0.28
104936,0.13
104937,0.1
104942,0.1
104943,0.07
104969,0.16
104972,0.33
104988,0.1
105013,0.13
105015,0.07
105019,0.08
105027,0.12
105030,0.11
105035,0.33
105041,0.14
105051,0.17
105056,0.09
105067,0.39
105071,0.13
105072,0.1
105074,0.17
105091,0.06
105101,0.08
105103,0.07
105134,0.08
105139,0.06
105142,0.18
105146,0.06
105163,0.08
105168,0.15
105172,0.07
105176,0.47
105195,0.08
105196,0.28
105197,0.05
105203,0.13
105223,0.13
105227,0.2
105228,0.1
105230,0.14
105231,0.24
105239,0.05
105242,0.09
105244,0.06
105245,0.1
105248,0.04
105249,0.09
105266,0.2
105271,0.23
105276,0.13
105282,0.05
105292,0.16
105297,0.07
105332,0.15
105333,0.09
105343,0.04
105344,0.08
105345,0.15
105357,0.09
105359,0.11
105366,0.13
105367,0.06
105370,0.05
105377,0.17
105390,0.14
105399,0.03
105403,0.06
105404,0.17
105414,0.07
105417,0.04
105425,0.16
105452,0.2
105454,0.15
105456,0.11
105470,0.11
105471,0.07
105483,0.19
105493,0.07
105508,0.17
105514,0.07
105515,0.02
105528,0.3
105529,0.03
105531,0.1
105532,0.12
105558,0.05
105574,0.08
105578,0.06
105584,0.32
105595,0.14
105617,0.2
105618,0.14
105621,0.1
105625,0.13
105629,0.11
105630,0.01
105634,0.02
105635,0.04
105641,0.14
105647,0.08
105648,0.08
105655,0.08
105657,0.05
105672,0.09
105678,0.16
105682,0.15
105691,0.05
105692,0.07
105706,0.14
105712,0.06
105720,0.08
105734,0.06
105735,0.02
105736,0.14
105737,0.08
105738,0.1
105740,0.16
105744,0.07
105747,0.08
105749,0.18
105754,0.04
105758,0.14
105760,0.15
105767,0.11
105784,0.22
105791,0.06
105802,0.3
105807,0.3
105809,0.13
105816,0.07
105817,0.09
105824,0.2
105832,0.06
105856,0.04
105865,0.08
105899,0.2
105906,0.09
105916,0.05
105923,0.17
105937,0.07
105965,0.02
105966,0.19
105968,0.12
105973,0.09
105976,0.08
105978,0.18
105979,0.09
105991,0.17
105998,0.18
105999,0.05
106000,0.22
106001,0.06
106010,0.17
106011,0.11
106013,0.23
106015,0.05
106026,0.04
106032,0.04
106035,0.24
106040,0.16
106041,0.17
106044,0.08
106053,0.29
106054,0.08
106065,0.23
106081,0.08
106083,0.12
106087,0.05
106090,0.14
106101,0.07
106102,0.17
106109,0.08
106116,0.1
106150,0.08
106155,0.21
106166,0.11
106176,0.13
106189,0.05
106199,0.19
106205,0.19
106206,0.12
106211,0.07
106214,0.06
106216,0.12
106217,0.09
106225,0.09
106249,0.12
106256,0.12
106258,0.06
106261,0.08
106262,0.16
106264,0.04
106271,0.08
106276,0.05
106277,0.18
106286,0.14
106293,0.1
106295,0.07
106296,0.05
106297,0.1
106298,0.09
